outcome,spec,term,b,se,p,n
AL,q25,INFRA,5.002144715698336,0.3231534129905923,4.796646368195714e-54,1407
AL,q25,HCR,-0.48909145939605025,0.3441488747904825,0.15526953711607974,1407
AL,q25,IX,-0.8853242836720057,0.15518740502092374,1.1643054040435572e-08,1407
AL,q25,GDP,-2.2761734994548277,0.37003017652894205,7.684139079813761e-10,1407
AL,q25,POP,1.9526029070760735,0.17652670254520642,1.9342111025190667e-28,1407
AL,q25,URB,-1.7036085806248025,0.24165722226731348,1.7931641785065725e-12,1407
AL,q50,INFRA,7.333784187347675,0.4361003069637398,1.84018689284947e-63,1407
AL,q50,HCR,-1.808200551090227,0.3432968471009821,1.3854796113404894e-07,1407
AL,q50,IX,-1.056959349105609,0.18979219719520818,2.561543411431457e-08,1407
AL,q50,GDP,-3.785462174138985,0.40606549713729617,1.1385102739282284e-20,1407
AL,q50,POP,1.711252874052997,0.2378942238110481,6.322749755480416e-13,1407
AL,q50,URB,-2.141552456159875,0.29637508057613987,4.980936601449923e-13,1407
AL,q75,INFRA,10.975507166539842,1.260098319344581,3.0376673101907367e-18,1407
AL,q75,HCR,-0.7944830135639904,0.7367759237976828,0.28088927965070154,1407
AL,q75,IX,-1.3227726146240784,0.47144825446206257,0.005019741776366613,1407
AL,q75,GDP,-3.5089551950685234,1.0172351201317682,0.0005616203156819444,1407
AL,q75,POP,0.46080599152034196,0.641805753551477,0.4727674122961478,1407
AL,q75,URB,-8.068045070135227,0.7784497146810888,3.605875054061303e-25,1407
TNRR,full,INFRA,0.09354600194718868,0.05527516649759875,0.10060466879084477,1015
TNRR,full,HCR,0.16512770165657384,0.06035259197499859,0.010196834006404754,1015
TNRR,full,IX,-0.040210330417432785,0.023233703164070817,0.09345152325421996,1015
TNRR,full,GDP,-0.10670819542863942,0.06973676098165396,0.1361195091335192,1015
TNRR,full,POP,-0.028222595581733814,0.297429498796331,0.9250142150679775,1015
TNRR,full,URB,-0.4424635461923433,0.08715917458141532,1.724865090495712e-05,1015
TNRR,full,ENERGY,0.007506377619145705,0.03512778251777074,0.8321897876088868,1015
TNRR,full,TRADE,0.21235596490606862,0.044018697290947796,3.552614363551138e-05,1015
TNRR,broad,INFRA,0.0857331681392364,0.04186896764631191,0.049147087350253804,1403
TNRR,broad,HCR,0.08795751789008763,0.03791046929095466,0.027087165094444313,1403
TNRR,broad,IX,-0.049765291741958984,0.02093001833122916,0.023771479992184038,1403
TNRR,broad,GDP,-0.23766425103671204,0.05271569022613791,8.740721625437291e-05,1403
TNRR,broad,POP,-0.15458392543498137,0.2401542280872005,0.5245129112797473,1403
TNRR,broad,URB,-0.4058963498138642,0.04696981739582646,9.27232835021907e-10,1403
TNRR,weighted,INFRA,0.07863148345692898,0.05055318983371003,0.1299971763175678,1015
TNRR,weighted,HCR,0.11332764064912641,0.05419194036397929,0.0447962741541617,1015
TNRR,weighted,IX,-0.02790079582971339,0.023501288187170087,0.2441655570294321,1015
TNRR,weighted,GDP,-0.0791439280997044,0.08112650540342825,0.3368333963180469,1015
TNRR,weighted,POP,-0.04676953468148323,0.309495951779785,0.8808639506578302,1015
TNRR,weighted,URB,-0.4247707657555187,0.08046966266828896,9.65943118863475e-06,1015
TNRR,weighted,ENERGY,0.004573426830529841,0.0352371792459435,0.8975712405829444,1015
TNRR,weighted,TRADE,0.16763874985380245,0.04284011632176061,0.00046480258517366007,1015
TNRR,q25,INFRA,-0.5298631094724158,0.03528169418952223,5.590833936849991e-51,1403
TNRR,q25,HCR,0.2534199057522706,0.031090861290548957,3.6109081377020664e-16,1403
TNRR,q25,IX,0.08574639512986337,0.01648923995402303,1.991359459749825e-07,1403
TNRR,q25,GDP,-0.3989397810658666,0.03155794084740622,1.246493401755625e-36,1403
TNRR,q25,POP,0.24190555434333305,0.021359955184864034,9.846495663291681e-30,1403
TNRR,q25,URB,0.3613432589273202,0.025868517906564005,2.428335277441732e-44,1403
TNRR,q50,INFRA,-0.7723171361094447,0.04428459205269771,4.1107147898009775e-68,1403
TNRR,q50,HCR,0.1906551792233403,0.03575948315961235,9.735240510502691e-08,1403
TNRR,q50,IX,0.06432095512201985,0.019106690210906756,0.0007615339699445086,1403
TNRR,q50,GDP,-0.06370600845238528,0.04184798278703279,0.12792899515931838,1403
TNRR,q50,POP,0.18698365954117754,0.025115089458879674,9.689126160261293e-14,1403
TNRR,q50,URB,0.43700726822823466,0.03170460712961903,3.194033734811374e-43,1403
TNRR,q75,INFRA,-0.7191102953858035,0.05002562198799323,7.444225350588175e-47,1403
TNRR,q75,HCR,-0.009459671434669303,0.039801347993758895,0.8121353959050075,1403
TNRR,q75,IX,0.03354097439416037,0.01945186703363734,0.08465258557721546,1403
TNRR,q75,GDP,0.0958264925549841,0.054063931560884106,0.07631719745476426,1403
TNRR,q75,POP,0.1455298755179797,0.025538061597372617,1.2083195716669227e-08,1403
TNRR,q75,URB,0.4664054164527096,0.03599623728761007,2.1430403103141427e-38,1403
