year,iso3,INFRA,INFRA_PC,INFRA_k,HCR,HCR_PC,HCR_k
2000,SLE,-0.6166253945750281,-0.6176686451445195,4,-0.49082163061336365,-0.4941451207286979,3
2000,SOM,-0.6325649280691091,-0.6438431205258148,4,,,0
2000,SSD,,,0,,,0
2000,STP,0.8418636458073901,0.8825700526647952,4,,,1
2000,SWZ,0.43151650313924284,0.42360097912878547,4,0.6677415097653966,0.6658809786530326,4
2000,SYC,3.017523334538949,3.0145959237665707,4,2.681147762398343,2.6736017638868796,2
2000,TCD,-0.8262784709049276,-0.827017630970103,4,-1.0785710990467687,-1.0792472927611285,4
2000,TGO,-0.1034300591911523,-0.10247535978706226,4,0.095573780121835,0.09405349515000243,3
2000,TZA,-0.5782366556156264,-0.5796713482870849,4,-0.4940032053598862,-0.4689133997692785,3
2000,UGA,-0.5896656373530096,-0.594052896317338,4,0.13924282559604528,0.1427477849171034,3
2000,ZAF,2.2581773569986012,2.254109975353582,4,1.7510636227654128,1.7526958595954314,3
2000,ZMB,-0.2886475283659843,-0.2945043503572513,4,0.551328095277984,0.5509672800930143,2
2000,ZWE,0.2658436843484662,0.25837228085563774,4,0.8912840379788065,0.8819579818003159,3
2001,AGO,-0.5494204905951746,-0.5474748355313591,4,-0.8134275927085011,-0.8035062644755185,4
2001,BDI,-0.7587983859652891,-0.7609477056989639,4,-1.0368812866153487,-1.04151265433152,4
2001,BEN,-0.22793945894921447,-0.23265561517321184,4,-0.22627653440806877,-0.2536346088539292,4
2001,BFA,-0.615815956386254,-0.6170663644531479,4,-1.1884789215765705,-1.2002996230852467,3
2001,BWA,1.3436422510045993,1.3287878585828874,4,1.6854555036838956,1.696516988050512,4
2001,CAF,-0.8024650523026371,-0.8020744097434823,4,-0.7662076197143293,-0.7817521310616581,4
2001,CIV,0.34823916158890145,0.33902588056257865,4,-0.4045822630542082,-0.4046250978053836,2
2001,CMR,0.06162883525323086,0.05385157643028194,4,0.18455363670186176,0.16650186233959888,4
2001,COD,-0.8712493454392233,-0.8724196991821948,4,0.1376733085173288,0.13643335326129774,2
2001,COG,-0.08203573237086054,-0.10223316039621415,4,0.7400117073242876,0.7369553259360918,4
2001,COM,-0.1430868630971025,-0.12566835005393306,4,-0.08753310846303686,-0.08301738664968845,4
2001,CPV,1.5143892233547604,1.520276797804431,4,0.6832205984673545,0.7275044553072354,4
2001,DJI,0.01554513307168447,0.027962875445688873,4,-1.360014616853392,-1.3653847031097488,3
2001,ERI,-0.38462524952443167,-0.3726197325309192,4,0.19747819090896954,0.20878717157663634,3
2001,ETH,-0.7844318556971921,-0.779825668813187,4,-0.9111728992146607,-0.9182494918113947,4
2001,GAB,1.199350165575725,1.1879680992455564,4,1.1856798372194854,1.1740881483762122,4
2001,GHA,-0.03193250032890357,-0.03087643344683016,4,0.05472576473841891,0.05164525910149078,3
2001,GIN,-0.5739807621629918,-0.5747979051670679,4,-0.7808006551632363,-0.7898153722301146,4
2001,GMB,0.4137411068114235,0.4110746439581168,4,-0.7922538516851981,-0.7877964166691371,3
2001,GNB,-0.5830358914109304,-0.5693901829084723,3,-0.19750106669436007,-0.20534666648625438,2
2001,GNQ,0.19686836841175093,0.1948047184189072,4,-0.0056771756174423356,-0.0175149706782855,3
2001,KEN,-0.15729671984972157,-0.16121180826328171,4,0.3946951500169784,0.4016432744947986,4
2001,LBR,-0.8409434828228436,-0.8365305292752482,3,0.41930776780586093,0.4213075651351661,2
2001,LSO,-0.32777035070859456,-0.34233591827285914,4,0.2932863563729048,0.3006200605605942,4
2001,MDG,-0.5315765691918348,-0.5340024144535976,4,-0.07084726922284511,-0.06071280130458023,3
2001,MLI,-0.6816278587511632,-0.6773885126252606,4,-0.9003839389516878,-0.9145468451246493,4
2001,MOZ,-0.6224147597152567,-0.6262304963405816,4,-1.0059398087543523,-0.999956466077271,4
